commodity,EUR_w,ACO_w,ASA_w,AFR_w,EMR_w,SEA_w,AMR_w
cereals,0.25,0.27,0.2,0.01,0.12,0.03,0.1
roots_and_tubers,0.17,0.3,0.1,0.02,0.06,0.03,0.04
oilseeds_and_pulses,0.04,0.04,0.04,0.01,0.02,0.01,0.02
fruits_and_vegetables,0.19,0.28,0.15,0.05,0.12,0.07,0.1
meat,0.11,0.11,0.08,0.02,0.08,0.04,0.06
fish_and_seafood,0.11,0.33,0.08,0.02,0.04,0.02,0.04
milk,0.07,0.15,0.05,0.001,0.02,0.01,0.04
eggs,0.08,0.15,0.05,0.01,0.12,0.02,0.04
