CC_Scenario,NoCC_Scenario
SSP1_NoMt_CC26,SSP1_NoMt_NoCC
SSP2_NoMt_CC26,SSP2_NoMt_NoCC
SSP3_NoMt_CC26,SSP3_NoMt_NoCC
SSP1_NoMt_CC85,SSP1_NoMt_NoCC
SSP2_NoMt_CC85,SSP2_NoMt_NoCC
SSP3_NoMt_CC85,SSP3_NoMt_NoCC
SSP1_2p6_CC26,SSP1_NoMt_NoCC
SSP2_2p6_CC26,SSP2_NoMt_NoCC
SSP3_2p6_CC26,SSP3_NoMt_NoCC
